426,2014/08/05 - 11:46pm,0,,,,Adam,Watts,Adam.Watts@snail.dm,59455672,6043690096,,Identify as male,1993,First Choice,Second Choice,Third Choice,,No preference,"BSc, Computer Science",,,3rd year,,No,"Not a co-op student, but interested in joining co-op",X,,,,,,,,"computer graphics, game development,app development, computer hardware, operating systems","sports, piano, gaming",
567,2014/08/19 - 6:04pm,0,,,,Adan,Hu   ,Adan.Hu@snail.dm,93145858,6046738451,,Identify as male,1990,Third Choice,First Choice,Second Choice,,Match with female mentor only,"BA, Computer Science",,,4th year,,"Yes, as a junior student",Not a co-op student,,,X,,,X,,,Start ups,"Start up
s, Health, 
Social dynamics ",
388,2014/08/02 - 1:31pm,0,,,,Adeline,Dombrowski,Adeline.Dombrowski@snail.dm,91355094,7789300480,,Identify as female,1994,Second Choice,First Choice,Third Choice,,No preference,"BSc, Computer Science",,,3rd year,,No,Not a co-op student,,,,,,X,,,"Graphics, Software Development ","Running, Photography, Dance, Exploring",
542,2014/08/17 - 5:47pm,0,,,,Aden,Vong,Aden.Vong@snail.dm,57712514,7784039041,604-7474427,Identify as male,1996,First Choice,Not Avail.,Not Avail.,During 5:45-7:45 on Thursday I have a computer science lab. ,No preference,"BComm, Combined Business / Computer Science (BUCS)",,,1st year,,No,"Not a co-op student, but interested in joining co-op",X,,X,,,,,,"Programming, Coding ","Playing Basketball, Reading, Building personal stock portfolios.  ",
493,2014/08/14 - 11:02am,0,,,,Aditya,Wells,Aditya.Wells@snail.dm,57123454,6047521547,,Identify as male,1986,First Choice,Second Choice,Third Choice,,No preference,"BCS (Bachelor of CS, 2nd Degree)",,,4th year,,"Yes, as a junior student",Currently a co-op student,X,,,X,,X,,,"Machine Learning, Natural Language Processing, Data Mining",philosophy ,
665,2014/09/08 - 12:02pm,0,,,,Adrian,Poole,Adrian.Poole@snail.dm,85281704,6049189649,604-5548089,Identify as male,1983,Third Choice,Second Choice,First Choice,,No preference,"BCS (Bachelor of CS, 2nd Degree)",,,4th year,,"Yes, as a senior student",Have completed all co-op terms,X,X,X,X,,,,,"web, games, graphics, mobile","indie game development, music, film/filmmaking, racquet sports,",
638,2014/08/31 - 12:50am,0,,,,Adrianna,Phe,Adrianna.Phe@snail.dm,64306414,6047739462,,Identify as female,1991,First Choice,Second Choice,Third Choice,,No preference,"BSc, Computer Science",,,4th year,,No,Have completed all co-op terms,X,X,,,,,,,"Big Data, Business Intelligence/Analytics, Computer Graphics and Interactive Techniques, Data mining","Sports (i.e. hiking, badminton, volleyball), travelling, playing piano, reading market analysis/insight reports",
357,2014/08/01 - 5:29pm,0,,,,Adrienne,Johnston,Adrienne.Johnston@snail.dm,37451670,6043890975,,Identify as female,1993,Not Avail.,Second Choice,First Choice,,No preference,"BSc, Computer Science",,,3rd year,,"Yes, as a junior student",Currently a co-op student,X,,X,X,,,,,"Database, Data mining, HCI","Law, politics, economics.",
573,2014/08/20 - 12:41am,0,,,,Ahmad,Rees,Ahmad.Rees@snail.dm,97114629,6048250443,,Identify as male,1995,First Choice,Second Choice,Third Choice,Not sure yet...,No preference,"BSc, Computer Science",,,1st year,,No,"Not a co-op student, but interested in joining co-op",,X,X,,X,X,,,"Software development, algorithms, mathematics","Reading, chess, cricket, ultimate, history, philosophy, politics, mathematics, writing",
385,2014/08/02 - 10:01am,0,,,,Ahmed,Riza,Ahmed.Riza@snail.dm,75764327,6042783007,,Identify as male,1994,First Choice,Second Choice,Third Choice,,No preference,"BSc, Computer Science (Combined Major)",,Statistics,2nd year,,No,"Not a co-op student, but interested in joining co-op",X,X,X,,,,,,Web developing,Basketball,
